Adjective	Score
thơm	0.12414781951497267
xinh_gái	0.3911866667633167
xinh_đẹp	0.6896902639989971
già	-0.6306388125601954
cận	0.18697787087052375
trộm vía	0.10775333773225615
tuyệt_vời	0.46163311647268224
bần_bật	0.7884917796612518
tạm	-0.6387626618140034
giá sinh viên	0.21058540331686226
đắt	-0.562341296897532
chuẩn	0.15735302802439355
dễ	0.7576460362889235
đen	0.9946255633948516
chừng	0.8105908511684393
trọn_vẹn	0.9303324432345547
thik	0.93980319914055
vui_vẻ	0.9090555103964677
tím	0.11963151472296063
tận_tình	0.593553411752558
sướng	0.7951144850449958
đẹp	0.14650283577008383
khỏe	0.9125223602654426
tiện	0.2066624297066334
mạnh_mẽ	0.7852444542363954
ngon	0.19709137245248443
tràn_đầy	0.4414053471044932
giỏi	0.9266363565327848
mau	0.04948449299366897
sạch	-0.275327421212604
rẻ	0.6879394570641566
cứng	0.11705017589593814
ghê	0.9233230000189208
phát_tài	0.6767362124761392
xuất_sắc	0.8958353357424015
gọn	-0.185851650655262
may_mắn	0.6319650143780904
đậm	-0.2999125599367366
xinh	0.5263921257319073
no	0.28300281319062226
dễ_thương	0.13430675267011338
rộng	0.5562261526428525
xịn	0.004596310147396672
liền	0.07723331218507912
tươi	0.2761985466474729
bảnh_trai	0.716422766589403
dồi_dào	0.5842288252678087
nóng	0.18007143640558398
hạnh_phúc	0.09578385713693194
to	0.4837543291474954
láng_o	0.921738824237087
vui	0.996449679646828
nhức	0.8071932030503072
nổi_bật	0.12174793981011722
trắng	0.08538732419549755
hiện_đại	0.5760740863666155
rực_rỡ	0.8619779311342785
thiết_tha	0.5284607643627055
nôn_nao	0.7650317790018216
ổn	0.11313026671146897
lạ	0.9742988647063072
đông	0.7810686769299366
an_toàn	0.7026968641318959
hoành_tráng	0.06473107081942875
cẩn_thận	0.9550784954907249
trẻ	0.49258231818205633
tạm_thời	0.5951916841879658
sạch_sẽ	0.06929579266856278
đầy_đủ	0.9333617056440591
chuyên_nghiệp	0.9256132965098509
ấm_áp	0.0108803127813509
tươi_cười	0.25111011590543425
hài_lòng	0.696672521236524
niềm_nở	0.6277415036097093
hiệu_quả	0.19194372397910942
nhiệt_tình	0.7344818481250739
hỏng	-0.582455617142644
đắt_tiền	-0.01172668363586668
không_biết_thật_không_nữa	-0.5882048964819132
không_như_mong_đợi	-0.5559975083519042
không_xứng_đáng	-0.7556578232487905
phốt	-0.29180247316887853
câu_hồn	-0.9638366674888942
béo	-0.5769244488622499
lừa_đảo	-0.5594641119934878
lầm_lỡ	-0.3235580553469064
khổ_cả_đời	-0.12313738521166084
xả	-0.800998000756192
nặng_nề	-0.38234983488073626
vội	-0.9729465706391496
chậm_chạp	-0.7752270828698568
run_tay	-0.9124921321701589
lem	-0.5570024761805307
bọng	-0.10739585232859927
vấn_đề	-0.5898177359403491
câu_tương_tác	-0.43267920030294615
oan	-0.20064323916871618
chật	-0.8066501391807467
nhiều_quá	-0.3247824165605988
tránh xa	-0.20606463645598205
ngang	-0.863260279885335
k_bao_giờ	-0.15021818475388315
k_hài_lòng	-0.43879082506183165
ko_hiệu_quả	-0.38596123999867926
lung_tung	-0.5562523306422817
tệ	-0.212889990854919
ngửa	-0.6853686582625266
lạnh_lùng	-0.6281879246300909
dày	-0.5434118736739407
làm_trò	-0.08162494054730918
thất_vọng	-0.889242808597289
không_thấy_cải_thiện	-0.3207023442307444
không_thấy_sự_cải_thiện	-0.2833041687860963
không_thấy_sự_thay_đổi	-0.13497205570915616
không_thấy	-0.6485240246999454
mất_lịch_sự	-0.22442314096235483
cọc	-0.9146164892774225
thiếu_tôn_trọng	-0.19228574402687826
nhạt_toẹt	-0.9579372874838991
vênh_váo	-0.509598958969382
vênh	-0.7633193722635139
gì_cả	-0.9638485724851238
sai	-0.7997416174890092
giận	-0.5918448858504843
yếu	-0.8703004734807297
từ_chối	-0.007421525665970319
ăn_chặn	-0.7016583368451991
giang_hồ	-0.7924946632067282
lật	-0.10715118660616796
bồi_thường	-0.7530610979398905
đa_cấp	-0.016521626535360986
chênh_lệch	-0.5065604381300227
chăm_chăm	-0.23175749618125374
né	-0.9177148842180995
chào_mời	-0.2833792027554729
chả_hiệu_quả	-0.2754905984999791
lưỡng_lự	-0.9669678382063484
chèo_kèo	-0.19872625257027465
chèo_kéo	-0.8164030546883466
tốn	-0.3808176262225772
qua_loa	-0.9741571378397959
chê	-0.007854164170650093
tồi_tệ	-0.749242579295929
